Description,TotalSalesDollars,ProfitMargin,IsTargetBrand,LowSalesThreshold,HighMarginThreshold
Ardbeg Auriverdes Scotch,3959.58,82.65220048591011,False,560.146,64.9299097086893
Ardbeg Corryvreckan Scotch,41324.24,29.209103422107702,False,560.146,64.9299097086893
Ardbeg Dark Cove Com Release,7259.34,21.982990189190748,False,560.146,64.9299097086893
Ardbeg Exploration Pk +50mls,41806.93,75.86766117483393,False,560.146,64.9299097086893
Ardbeg Perpetuum Single Malt,13228.619999999999,61.0784798414347,False,560.146,64.9299097086893
Ardbeg Uigeadail Scotch,47357.74,29.519060664634754,False,560.146,64.9299097086893
Ardmore Legacy Single Malt,29665.960000000003,20.63631178630323,False,560.146,64.9299097086893
Aresti Pnt Nr Curico Vly,94.81,96.54044931969202,True,560.146,64.9299097086893
Argentiera Poggio Ginerpi Bo,227.88,32.43812532912059,False,560.146,64.9299097086893
Argiano Non Confunditur Rsso,263.88,35.470668485675304,False,560.146,64.9299097086893
Argiola Costera Isola dei N,149.85,45.945945945945944,False,560.146,64.9299097086893
Argiolas SerraLori Rose 13,503.4,33.77830750893921,False,560.146,64.9299097086893
Argyle Brut,14523.109999999999,39.41242612635999,False,560.146,64.9299097086893
